Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,KO,PEP,KO,PEP,KO,PEP,KO,PEP,KO,PEP
Date,,,,,,,,,,
2012-07-13,25.984346389770508,48.580379486083984,26.088578844088833,48.64247373433975,25.668283379540835,48.19399597334904,25.76579223514956,48.29059053553057,13307400,4183800
2012-07-16,25.715354919433594,48.538970947265625,26.024691718612917,48.67696691874813,25.62120659486291,48.40788135436733,25.92381979635553,48.53206983268949,17575600,4543400
2012-07-17,26.122194290161133,48.525177001953125,26.448343853201898,48.87705490711351,25.809494484545436,48.00080280570276,26.246600057104857,48.73216307604599,21209600,5872300
2012-07-18,26.038143157958984,48.55966567993164,26.11883916179968,48.60106710052676,25.82967570231749,48.159490550235276,26.105389400279613,48.414773867867964,13852000,4221900
2012-07-19,26.075117111206055,48.58726501464844,26.0919273812492,48.62176532124415,25.722068091679443,48.36647673885596,26.06502787084596,48.54586885793976,18050400,4110900
2012-07-20,25.900278091430664,48.2698860168457,26.007873589502353,48.51827350476838,25.81958210919665,48.062899952915565,25.980974073664676,48.32508440616366,16436000,7628100
2012-07-23,25.849843978881836,47.84211730957031,25.890193255507818,48.22850085893118,25.67836532509963,47.566135828038846,25.738887957398997,48.00081139905931,10655800,5070600
2012-07-24,25.7758731842041,47.462623596191406,25.873379443146852,47.704109940360084,25.58757913230573,47.23493421568629,25.85656916914391,47.704109940360084,10445800,5930700
2012-07-25,25.896926879882812,48.50447082519531,25.964175700298934,48.60796121296425,25.799420579519783,47.635114719883646,25.87339043405722,47.64891168358367,9020400,8688300
2012-07-26,26.512226104736328,49.13924789428711,26.532402022836372,49.33243701518209,26.12555392889729,48.75976550395144,26.12555392889729,48.794265817257866,14144600,9457100
2012-07-27,26.902273178100586,49.856807708740234,26.979606108069977,49.974100343245915,26.529050595295356,48.64937052480817,26.57948656478146,48.70456365257013,17825000,10795700
2012-07-30,27.275489807128906,50.19489288330078,27.292300083101566,50.325987758819025,26.754322511667738,49.57392408348911,26.821568746117187,49.64291944702178,15947800,6198600
2012-07-31,27.167896270751953,50.181087493896484,27.346101113768345,50.26387981063645,27.030038145230833,49.84990243491281,27.134270585799758,49.8912985932828,16333600,6838800
2012-08-01,27.238508224487305,49.95338821411133,27.31920423255743,50.30527128267784,27.09728700376479,49.0495319110878,27.22505846226231,50.22247371830722,12954600,13038300
2012-08-02,26.814836502075195,49.5394172668457,27.23513174505443,49.856800074916485,26.73750104864444,49.29792565582858,27.144349101293493,49.753304422195946,13393200,6331400
2012-08-03,27.177982330322266,50.277679443359375,27.231778807515653,50.29837752147563,26.902268650847375,49.808503704696214,26.962791290989646,50.00169278579146,11834200,5431800
2012-08-06,27.114086151123047,50.00859832763672,27.319190432205584,50.33287702018271,27.107362556046912,49.99479609833205,27.238494464899215,50.27078278033606,9179400,4092200
2012-08-07,26.821569442749023,49.87749099731445,27.228417637157243,50.20177487278072,26.814845845241212,49.815391508987794,27.181342193484653,50.112076196754074,12782800,4924900
2012-08-08,26.750959396362305,50.07068634033203,26.898904190298353,50.16037976362496,26.68371316199832,49.711907383152834,26.801395354774993,49.73950131031414,8790200,3521400
2012-08-09,26.64336585998535,49.77400588989258,26.82493378458143,50.02239336773576,26.50551029972216,49.64981215097099,26.72070134399612,49.96719498065774,9583400,3992700
2012-08-10,26.492069244384766,49.767086029052734,26.63328793260566,49.78778936441432,26.431546582964316,49.46350554249329,26.616477649882473,49.68429374363013,40577600,3590200
2012-08-13,26.428176879882812,49.6705207824707,26.488699526141957,49.78781869593306,26.260058703082947,49.52562893361501,26.434903043511493,49.615327647674995,8898200,3949000
2012-08-14,26.48196029663086,49.842994689941406,26.676975316997076,49.88439610681172,26.394538178018102,49.44971544572038,26.62990246050058,49.773999347167184,10841200,6920700
2012-08-15,26.461793899536133,50.105186462402344,26.59628892301458,50.14658261700068,26.381097911560747,49.59460932365482,26.508866772961706,49.68430801062781,7692500,6502100
2012-08-16,26.596288681030273,50.767539978027344,26.65008771604385,50.78823805072844,26.434896706547914,49.95338244641102,26.495419338298596,49.98098163134791,8824100,8715500
